"","Entity","Code","Year","Number of Internet Users"
"1","Australia","AUS",2017,21160670
"2","Austria","AUT",2017,7681572
"3","Azerbaijan","AZE",2017,7763795
"4","Bahrain","BHR",2017,1431062
"5","Belarus","BLR",2017,7047894
"6","Belgium","BEL",2017,10021205
"7","Bosnia and Herzegovina","BIH",2017,2437067
"8","Bulgaria","BGR",2017,4492334
"9","Cambodia","KHM",2017,5441827
"10","Cameroon","CMR",2017,5581180
"11","Cape Verde","CPV",2017,312327
"12","Chile","CHL",2017,14864002
"13","China","CHN",2017,765367947
"14","Colombia","COL",2017,30548193
"15","Costa Rica","CRI",2017,3511631
"16","Cote d'Ivoire","CIV",2017,10650799
"17","Croatia","HRV",2017,2810896
"18","Cyprus","CYP",2017,952407
"19","Czech Republic","CZE",2017,8358640
"20","Denmark","DNK",2017,5567241
"21","Djibouti","DJI",2017,532863
"22","Ecuador","ECU",2017,9521429
"23","Egypt","EGY",2017,43850341
"24","Estonia","EST",2017,1153818
"25","Finland","FIN",2017,4831111
"26","France","FRA",2017,52308536
"27","Georgia","GEO",2017,2366455
"28","Germany","DEU",2017,69300711
"29","Hong Kong","HKG",2017,6585380
"30","Hungary","HUN",2017,7461350
"31","Indonesia","IDN",2017,85249263
"32","Iran","IRN",2017,49035599
"33","Iraq","IRQ",2017,18892351
"34","Ireland","IRL",2017,4024333
"35","Israel","ISR",2017,6788835
"36","Italy","ITA",2017,36388297
"37","Japan","JPN",2017,115848998
"38","Kazakhstan","KAZ",2017,13913107
"39","Kuwait","KWT",2017,4053797
"40","Latvia","LVA",2017,1585391
"41","Lithuania","LTU",2017,2243311
"42","Luxembourg","LUX",2017,570780
"43","Macao","MAC",2017,517814
"44","Madagascar","MDG",2017,2505948
"45","Malaysia","MYS",2017,25343837
"46","Malta","MLT",2017,344976
"47","Mexico","MEX",2017,82473657
"48","Montenegro","MNE",2017,448274
"49","Morocco","MAR",2017,22073555
"50","Netherlands","NLD",2017,15877031
"51","Niger","NER",2017,2195911
"52","Norway","NOR",2017,5120147
"53","Paraguay","PRY",2017,4160051
"54","Peru","PER",2017,15673479
"55","Poland","POL",2017,29004155
"56","Portugal","PRT",2017,7622268
"57","Romania","ROU",2017,12545023
"58","Russia","RUS",2017,109443932
"59","Saint Vincent and the Grenadines","VCT",2017,72048
"60","Saudi Arabia","SAU",2017,26375524
"61","Singapore","SGP",2017,4821092
"62","Slovakia","SVK",2017,4446690
"63","Slovenia","SVN",2017,1640798
"64","South Korea","KOR",2017,48482630
"65","Spain","ESP",2017,39216797
"66","Sweden","SWE",2017,9554872
"67","Switzerland","CHE",2017,7943192
"68","Thailand","THA",2017,36515273
"69","Togo","TGO",2017,963813
"70","Tunisia","TUN",2017,6400330
"71","Turkey","TUR",2017,52229607
"72","United Arab Emirates","ARE",2017,8913210
